# Format: movieId|poster_url|watch_url
1|https://example.com/posters/toy_story.jpg|https://example.com/watch/toy_story
2|https://example.com/posters/jumanji.jpg|https://example.com/watch/jumanji
3|https://example.com/posters/grumpier_old_men.jpg|https://example.com/watch/grumpier_old_men
4|https://example.com/posters/waiting_to_exhale.jpg|https://example.com/watch/waiting_to_exhale
5|https://example.com/posters/father_of_bride.jpg|https://example.com/watch/father_of_bride
6|https://example.com/posters/heat.jpg|https://example.com/watch/heat
7|https://example.com/posters/sabrina.jpg|https://example.com/watch/sabrina
8|https://example.com/posters/tom_and_huck.jpg|https://example.com/watch/tom_and_huck
9|https://example.com/posters/sudden_death.jpg|https://example.com/watch/sudden_death
10|https://example.com/posters/goldeneye.jpg|https://example.com/watch/goldeneye
11|https://example.com/posters/american_president.jpg|https://example.com/watch/american_president
12|https://example.com/posters/dracula.jpg|https://example.com/watch/dracula
13|https://example.com/posters/balto.jpg|https://example.com/watch/balto
14|https://example.com/posters/nixon.jpg|https://example.com/watch/nixon
15|https://example.com/posters/cutthroat_island.jpg|https://example.com/watch/cutthroat_island 
